"student","social","gender","take_exam","Fi","CBi","Vi","MApi","PApi","total_time","total_activity","qp_time","wa_time","qp_activity","wa_activity","total_time_be","total_activity_be","pretest","posttest","exam_norm","lgain_pp","lgain_pe"
"user0003","individual","male","no",0.5,0.4,0.87,0.33,0,37,1,37,0,1,0,37,1,0.27,NA,-1,NA,NA
"user0004","individual","male","yes",0.42,0.4,0.47,0.44,0.67,837,35,549,288,11,24,161,13,0,0.73,0.9,0.73,0.9
"user0005","individual","male","yes",0.75,0.8,1,0.89,0.33,35,4,19,16,1,3,35,4,0.64,1,0.9,1,0.722222222222222
"user0006","individual","male","yes",0.58,0.05,0.8,0.67,0.56,0,0,0,0,0,0,0,0,0.09,NA,0.71,NA,0.681318681318681
"user0007","individual","male","yes",0.58,0.15,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.09,1,0.81,1,0.791208791208791
"user0008","individual","male","yes",0.67,0.7,0.67,0.89,0.33,12859,830,7540,5319,106,724,4857,334,0.45,0.64,1,0.345454545454545,1
"user0009","individual","male","yes",0.58,0.65,0.8,0.78,0,3874,731,2646,1228,99,632,952,93,0.09,NA,0.88,NA,0.868131868131868
"user0010","individual","male","yes",0.83,0.85,0.67,0.83,0.89,1793,110,821,972,23,87,1793,110,0.18,NA,0.85,NA,0.817073170731707
"user0011","individual","male","yes",0.58,0.45,0.67,0.61,0.22,3201,263,1377,1824,27,236,3201,263,0.27,0.82,0.87,0.753424657534246,0.821917808219178
"user0012","individual","male","yes",0.42,0.3,0.4,0.67,0.67,0,0,0,0,0,0,0,0,0.18,0.36,0.33,0.219512195121951,0.182926829268293
"user0013","individual","male","no",0.33,0.55,0.53,0.67,0.5,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0015","individual","male","yes",0.58,0.85,0.73,0.78,0.83,0,0,0,0,0,0,0,0,0.27,NA,0.85,NA,0.794520547945205
"user0016","individual","male","yes",1,0.9,0.93,0.89,0.61,0,0,0,0,0,0,0,0,0.18,NA,0.6,NA,0.512195121951219
"user0017","individual","female","yes",0.33,0.35,0.6,0.56,0.17,1710,137,1210,500,27,110,1710,137,0.09,0.73,0.91,0.703296703296703,0.901098901098901
"user0018","individual","male","yes",0.5,0.35,0.87,0.78,0.56,0,0,0,0,0,0,0,0,0.09,0.27,0.84,0.197802197802198,0.824175824175824
"user0019","individual","female","no",0.67,0.6,0.67,0.72,0.67,622,50,393,229,9,41,622,50,0.55,NA,-1,NA,NA
"user0020","individual","male","yes",0.58,0.6,0.73,0.67,0.33,8149,747,5472,2677,129,618,8149,747,0.27,0.91,0.93,0.876712328767123,0.904109589041096
"user0021","individual","male","yes",0.67,0.65,1,0.94,0.83,0,0,0,0,0,0,0,0,0.18,NA,0.93,NA,0.914634146341463
"user0022","individual","male","yes",0.33,0.2,0.93,0.5,0,16882,559,10537,6345,160,399,1254,27,0.27,0.55,0.52,0.383561643835616,0.342465753424658
"user0023","individual","female","yes",0.67,0.7,0.93,0.78,0.72,0,0,0,0,0,0,0,0,0.36,0.55,0.87,0.296875,0.796875
"user0024","social","male",NA,1,0.65,0.87,1,0.67,1706,185,1295,411,24,161,0,0,NA,NA,-1,NA,NA
"user0025","individual","male","yes",0.67,0.3,1,1,0,1953,125,1562,391,26,99,0,0,0.09,NA,0.69,NA,0.659340659340659
"user0026","individual","male","yes",0.83,0.5,0.67,0.67,0.67,2808,53,2797,11,50,3,51,1,0.09,0.55,0.91,0.505494505494506,0.901098901098901
"user0027","individual","male","yes",0.58,0.65,0.67,0.78,0.67,203,81,69,134,3,78,0,0,0.27,0.64,0.94,0.506849315068493,0.917808219178082
"user0028","individual","male","yes",0.58,0.5,1,0.72,0.44,0,0,0,0,0,0,0,0,0.27,NA,0.89,NA,0.849315068493151
"user0029","individual","male","yes",0.67,0.45,1,0.89,0.94,5037,381,1811,3226,33,348,3570,266,0.27,0.91,0.99,0.876712328767123,0.986301369863014
"user0030","individual","male","yes",0.42,0.5,0.73,0.5,0.39,843,154,574,269,20,134,843,154,0.09,0.82,0.7,0.802197802197802,0.67032967032967
"user0031","individual","male","no",0.58,0.25,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.36,NA,-1,NA,NA
"user0032","individual","male","yes",0.5,0.15,0.8,0.67,0.44,614,108,482,132,23,85,614,108,0.09,NA,0.65,NA,0.615384615384615
"user0033","individual","female","yes",0.67,0.4,0.87,0.61,0.78,0,0,0,0,0,0,0,0,0,0.09,0.75,0.09,0.75
"user0034","individual","male","yes",0.5,0.6,0.6,0.89,0.83,2460,94,2418,42,74,20,122,5,0.18,0.82,1,0.780487804878049,1
"user0035","individual","female","yes",0.33,0.55,0.6,0.5,0.5,123,10,99,24,2,8,123,10,0.36,0.36,0.58,0,0.34375
"user0036","individual","male","yes",0.92,0.75,0.73,0.89,0.67,5206,322,3962,1244,72,250,5206,322,0.18,0.91,1,0.890243902439024,1
"user0037","individual","male","yes",0.58,0.5,0.8,0.83,0.83,1302,113,1025,277,26,87,577,13,0,0.82,0.97,0.82,0.97
"user0038","individual","male","yes",0.33,0.3,0.53,0.5,0.61,0,0,0,0,0,0,0,0,0.09,0.18,0.51,0.0989010989010989,0.461538461538462
"user0039","individual","male","yes",0.5,0.7,0.73,0.94,1,0,0,0,0,0,0,0,0,0.64,0.18,0.82,-1.27777777777778,0.5
"user0040","individual","female","yes",0.42,0.1,0.27,0.44,0.44,0,0,0,0,0,0,0,0,0.27,0.91,0.96,0.876712328767123,0.945205479452055
"user0041","individual","male","yes",0.83,0.9,1,0.83,1,0,0,0,0,0,0,0,0,0.09,NA,0.57,NA,0.527472527472527
"user0042","individual","male","yes",0.25,0.45,0.53,0.56,0.17,8207,892,4685,3522,132,760,2712,353,0.09,1,0.87,1,0.857142857142857
"user0044","individual","female","yes",0.58,0.45,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.09,0,0.54,-0.0989010989010989,0.494505494505495
"user0045","social","male",NA,0.83,0.55,0.73,0.72,0.72,8836,1060,6746,2090,331,729,2006,268,NA,NA,-1,NA,NA
"user0046","individual","female","yes",0.5,0.45,0.6,0.5,0.44,0,0,0,0,0,0,0,0,0.09,0.82,0.95,0.802197802197802,0.945054945054945
"user0047","individual","male","yes",0.5,0.3,0.53,0.33,0.5,0,0,0,0,0,0,0,0,0.09,0.73,0.69,0.703296703296703,0.659340659340659
"user0048","individual","male","yes",0.33,0.35,0.73,0.56,0.5,0,0,0,0,0,0,0,0,0.09,0.09,0.46,0,0.406593406593407
"user0049","individual","male","yes",0.75,0.65,1,0.78,0.67,4238,489,2683,1555,76,413,2760,304,0.36,0.91,0.8,0.859375,0.6875
"user0050","individual","male","yes",0.33,0.45,0.47,0.44,0.56,4427,850,2483,1944,82,768,37,1,0.09,0.27,0.81,0.197802197802198,0.791208791208791
"user0051","individual","male","yes",0.58,0.25,0.6,0.72,0.94,415,11,415,0,11,0,0,0,0.09,0.64,0.91,0.604395604395604,0.901098901098901
"user0052","individual","male","yes",0.92,0.9,0.93,0.83,0.83,349,82,154,195,7,75,349,82,0.91,0.91,0.95,0,0.444444444444444
"user0053","individual","male","yes",0.5,0.55,0.73,0.83,0.5,1777,281,1374,403,35,246,137,3,0.18,0.91,0.9,0.890243902439024,0.878048780487805
"user0054","individual","female","yes",0.58,0.6,0.6,0.61,0.61,0,0,0,0,0,0,0,0,0.36,0.27,0.8,-0.140625,0.6875
"user0055","individual","male","yes",0.5,0.45,0.33,0.56,0.61,987,124,811,176,33,91,987,124,0.18,NA,0.66,NA,0.585365853658537
"user0056","individual","female","yes",0.58,0.55,0.47,0.72,0.78,2469,116,2240,229,59,57,1139,87,0,0.73,0.77,0.73,0.77
"user0057","individual","male","yes",0.67,0.8,0.8,0.72,0,0,0,0,0,0,0,0,0,0.64,0.73,0.71,0.25,0.194444444444444
"user0058","individual","male","yes",0.58,0.55,0.53,0.72,0.56,0,0,0,0,0,0,0,0,0.18,0.09,0.34,-0.109756097560976,0.195121951219512
"user0059","individual","male","yes",0.75,0.6,0.53,0.83,0,5438,441,4635,803,83,358,0,0,0.09,0.36,0.66,0.296703296703297,0.626373626373626
"user0060","individual","male","yes",0.5,0.6,0.67,0.56,0.67,123,5,116,7,4,1,0,0,0.18,0.91,0.95,0.890243902439024,0.939024390243902
"user0061","individual","male","yes",0.33,0,0.6,0.56,0.44,0,0,0,0,0,0,0,0,0.09,0.09,0.89,0,0.879120879120879
"user0062","individual","male","yes",0.33,0.65,0.8,0.72,0.83,559,88,428,131,13,75,559,88,0.45,0.64,0.94,0.345454545454545,0.890909090909091
"user0063","individual","male","yes",0.42,0.65,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.27,NA,0.8,NA,0.726027397260274
"user0064","individual",NA,"yes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0.82,0.68,NA,NA
"user0065","individual","male","yes",0.5,0.45,0.67,0.5,0.61,1225,238,864,361,35,203,820,197,0.09,NA,0.76,NA,0.736263736263736
"user0066","individual","male","yes",0.58,0.4,0.73,0.78,0.56,0,0,0,0,0,0,0,0,0.18,0.09,0.57,-0.109756097560976,0.475609756097561
"user0067","individual","male","yes",0.58,0.55,0.93,0.72,0.83,1392,176,864,528,28,148,0,0,0.45,0.45,0.95,0,0.909090909090909
"user0068","individual","male","yes",0.67,0.6,0.93,0.67,0.67,0,0,0,0,0,0,0,0,0.27,0.82,0.87,0.753424657534246,0.821917808219178
"user0069","individual","male","no",0.67,0.5,0.8,0.56,0.61,0,0,0,0,0,0,0,0,0.27,NA,-1,NA,NA
"user0070","individual","male","yes",0.5,0.7,0.93,1,0.56,26628,997,9738,16890,84,913,0,0,0.27,0.91,0.6,0.876712328767123,0.452054794520548
"user0071","individual","male","yes",0,0.25,0.33,0.5,0.5,0,0,0,0,0,0,0,0,0,0.27,0.74,0.27,0.74
"user0072","individual","female","yes",0.25,0.35,0.6,0.61,0.5,0,0,0,0,0,0,0,0,0.18,0.64,0.72,0.560975609756098,0.658536585365854
"user0073","individual","male","yes",0.58,0.3,0.67,0.78,0.39,0,0,0,0,0,0,0,0,0.09,0.09,0.85,0,0.835164835164835
"user0074","individual","male","no",0.25,0.6,0.6,0.06,0.06,0,0,0,0,0,0,0,0,0.18,NA,-1,NA,NA
"user0075","individual","male","yes",0.75,0.6,1,0.94,0.94,0,0,0,0,0,0,0,0,0.55,0.64,0.78,0.2,0.511111111111111
"user0076","individual","male","yes",0.5,0.75,0.67,0.83,0.67,0,0,0,0,0,0,0,0,0.45,0.82,0.84,0.672727272727273,0.709090909090909
"user0077","individual","male","yes",0.25,0.45,0.6,0.78,0.89,8243,83,8243,0,83,0,0,0,0.09,0.64,0.7,0.604395604395604,0.67032967032967
"user0078","individual",NA,"yes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,1,0.98,NA,NA
"user0079","individual","male","yes",0.33,0.3,0.33,0.67,0.67,1541,294,1073,468,34,260,0,0,0.18,0.64,0.88,0.560975609756098,0.853658536585366
"user0080","individual","female","no",0.33,0.25,0.6,0.39,0.39,0,0,0,0,0,0,0,0,0.18,NA,-1,NA,NA
"user0081","individual","male","yes",0.5,0.75,0.93,0.83,0.61,0,0,0,0,0,0,0,0,0.18,0.91,0.91,0.890243902439024,0.890243902439024
"user0082","individual","male","yes",0.5,0.65,0.47,0.67,0.67,405,6,405,0,6,0,0,0,0.27,0.64,0.53,0.506849315068493,0.356164383561644
"user0083","individual","male","yes",0.5,0.65,0.8,0.61,0.83,0,0,0,0,0,0,0,0,0.09,0.82,0.89,0.802197802197802,0.879120879120879
"user0084","individual","female","yes",0.75,0.35,0.93,0.94,0.5,2020,265,1594,426,51,214,2020,265,0,NA,0.81,NA,0.81
"user0085","individual","male","no",0.42,0.6,0.67,0.67,0.44,31,2,31,0,2,0,31,2,0.45,NA,-1,NA,NA
"user0086","individual","male","yes",0.67,0.65,0.93,0.72,0.33,0,0,0,0,0,0,0,0,0.27,0.91,0.88,0.876712328767123,0.835616438356164
"user0088","individual",NA,"yes",NA,NA,NA,NA,NA,10004,1040,6640,3364,279,761,2747,201,NA,0.73,0.68,NA,NA
"user0089","individual",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0091","social",NA,"yes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0.29,NA,NA
"user0128","individual","male","no",0.42,0.45,0.6,0.78,0.67,1264,67,484,780,12,55,1264,67,0.09,NA,-1,NA,NA
"user0129","individual","male","yes",0.58,0.65,0.8,0.78,0.78,0,0,0,0,0,0,0,0,0.09,0.55,0.84,0.505494505494506,0.824175824175824
"user0130","individual","male","yes",0.58,0.7,0.93,1,0.5,471,56,402,69,20,36,0,0,0.18,0.91,0.89,0.890243902439024,0.865853658536585
"user0131","individual","male","yes",0.5,0.4,0.67,0.61,0.61,2616,236,1898,718,31,205,803,103,0.18,0.64,0.92,0.560975609756098,0.902439024390244
"user0132","individual","male","yes",0.67,0.5,0.8,0.83,0.61,1180,46,1104,76,27,19,0,0,0.18,0.91,1,0.890243902439024,1
"user0133","individual","male","yes",0.75,0.8,0.8,0.78,0.67,0,0,0,0,0,0,0,0,0.27,0.82,0.72,0.753424657534246,0.616438356164383
"user0134","individual","male","yes",0.5,0.5,0.67,0.5,0.5,0,0,0,0,0,0,0,0,0.09,NA,0.89,NA,0.879120879120879
"user0135","individual","male","yes",0.58,0.35,0.67,0.56,0.5,2358,97,2224,134,44,53,0,0,0.09,0.91,0.89,0.901098901098901,0.879120879120879
"user0136","individual","male","yes",0.67,0.3,0.67,0.44,0.5,232,9,216,16,6,3,232,9,0.09,0.55,0.84,0.505494505494506,0.824175824175824
"user0137","individual","male","yes",0.42,0.5,0.6,0.61,0.44,128,15,0,128,0,15,128,15,0.27,0.45,0.96,0.246575342465753,0.945205479452055
"user0138","individual","male","yes",0.58,0.75,0.73,0.89,0,4687,351,3810,877,81,270,4687,351,0.09,0.91,0.88,0.901098901098901,0.868131868131868
"user0139","individual","male","no",0.5,0.15,0.6,0.67,0.56,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0140","individual","male","no",0.67,0.9,0.73,0.61,0,0,0,0,0,0,0,0,0,0.36,NA,-1,NA,NA
"user0141","individual","male","yes",0.67,0.65,0.73,0.83,1,2571,155,2283,288,37,118,2571,155,0.18,0.73,0.97,0.670731707317073,0.963414634146341
"user0142","individual","male","yes",0.5,0.7,0.6,0.83,0.83,63,4,63,0,4,0,0,0,0.09,0.09,0.94,0,0.934065934065934
"user0143","individual","male","yes",0.5,0.7,0.67,0.44,0.67,0,0,0,0,0,0,0,0,0.82,NA,0.91,NA,0.5
"user0144","individual","male","yes",0.58,0.6,0.93,0.94,0.61,0,0,0,0,0,0,0,0,0.27,NA,0.62,NA,0.479452054794521
"user0145","individual","male","yes",0.5,0.45,0.6,0.83,0.83,4567,610,2166,2401,80,530,2344,299,0,0.64,0.87,0.64,0.87
"user0146","individual","male","yes",0.5,0.45,0.67,0.67,0.5,65,2,65,0,2,0,0,0,0.09,0.55,0.8,0.505494505494506,0.78021978021978
"user0147","individual","male","no",0.83,0.6,0.8,0.89,0.67,0,0,0,0,0,0,0,0,0.64,NA,-1,NA,NA
"user0148","individual","female","no",0.58,0.6,0.93,0.89,0,0,0,0,0,0,0,0,0,0.36,NA,-1,NA,NA
"user0149","individual","female","yes",0.92,0.5,0.93,0.83,0.28,3637,180,3272,365,84,96,3637,180,0.18,0.55,0.69,0.451219512195122,0.621951219512195
"user0150","individual","male","yes",0.58,0.8,0.67,0.72,0.83,149,3,149,0,3,0,0,0,0.55,0.91,0.88,0.8,0.733333333333333
"user0151","individual","female","yes",0.42,0.4,0.33,0.78,0.61,4633,636,3683,950,125,511,3352,409,0.09,0.45,0.72,0.395604395604396,0.692307692307692
"user0152","individual","female","yes",0.5,0.5,0.8,0.78,0.67,2937,232,1418,1519,25,207,2130,190,0.27,0.91,0.97,0.876712328767123,0.958904109589041
"user0153","individual","male","yes",0.42,0.4,0.6,0.72,0.67,2560,179,2106,454,41,138,454,128,0.27,0.64,0.87,0.506849315068493,0.821917808219178
"user0154","individual","male","yes",0.58,0.65,0.6,0.72,0.72,10758,513,9670,1088,188,325,0,0,0.36,0.73,0.63,0.578125,0.421875
"user0155","individual","female","no",0.83,0.25,0.93,1,0.67,0,0,0,0,0,0,0,0,0.09,0.18,-1,0.0989010989010989,NA
"user0156","individual","male","yes",0.5,0.25,0.6,0.61,0.5,1336,141,1114,222,40,101,0,0,0.09,0.27,0.69,0.197802197802198,0.659340659340659
"user0157","individual","male","yes",0.67,0.5,0.67,0.72,0.61,0,0,0,0,0,0,0,0,0.45,0.64,0.89,0.345454545454545,0.8
"user0158","individual","male","yes",0.33,0.4,0.53,0.67,0.56,354,25,277,77,9,16,0,0,0.18,0.73,0.77,0.670731707317073,0.719512195121951
"user0159","individual","male","yes",0.33,0.8,0.47,0.44,0.22,0,0,0,0,0,0,0,0,0.27,1,1,1,1
"user0160","individual","male","yes",0.58,0.6,0.6,0.83,0.83,2441,455,1718,723,84,371,1130,233,0.27,0.36,0.95,0.123287671232877,0.931506849315068
"user0161","individual","male","yes",0.67,0.65,0.67,0.72,0.61,0,0,0,0,0,0,0,0,0.45,NA,0.53,NA,0.145454545454545
"user0162","individual","male","yes",0.5,0.65,0.67,0.89,0.94,0,0,0,0,0,0,0,0,0,NA,0.84,NA,0.84
"user0163","individual","male","yes",0.67,0.7,1,0.72,0.72,1341,119,1036,305,16,103,0,0,0.09,NA,0.98,NA,0.978021978021978
"user0164","individual","male","yes",0.5,0.35,0.6,1,0.94,6720,662,3015,3705,74,588,6720,662,0.18,0.73,0.99,0.670731707317073,0.98780487804878
"user0165","individual","male","yes",0.5,0.5,0.33,0.56,0.5,438,5,427,11,3,2,438,5,0,0,0.83,0,0.83
"user0166","individual","male","yes",0.83,0.35,0.93,0.83,0.83,5991,235,4842,1149,78,157,0,0,0.09,NA,0.87,NA,0.857142857142857
"user0167","individual","female","yes",0.75,0.75,0.67,0.78,0.67,4953,731,3563,1390,108,623,2152,360,1,0.73,0.99,-Inf,-Inf
"user0168","individual",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA
"user0169","individual","male","yes",0.67,0.95,1,1,1,155,3,155,0,3,0,155,3,0.18,NA,0.77,NA,0.719512195121951
"user0170","individual","male","yes",1,0.9,1,0.94,0.67,1281,173,439,842,14,159,1281,173,0.82,0.82,0.97,0,0.833333333333333
"user0171","individual","female","yes",0.67,0.8,0.8,0.78,0.5,4259,270,3644,615,47,223,2059,112,0.18,0.73,0.97,0.670731707317073,0.963414634146341
"user0172","individual","male","yes",0.58,0.65,0.73,0.78,0.5,0,0,0,0,0,0,0,0,0.27,0.73,0.95,0.63013698630137,0.931506849315068
"user0173","individual","male","yes",0.42,0.55,0.6,0.78,0.72,1211,164,877,334,22,142,929,81,0.18,1,0.65,1,0.573170731707317
"user0174","individual","male","yes",0.67,0.5,0.6,0.56,0.67,0,0,0,0,0,0,0,0,0.09,0.73,0.69,0.703296703296703,0.659340659340659
"user0175","individual","female","yes",0.42,0.5,0.53,0.61,0.72,0,0,0,0,0,0,0,0,0.18,0.45,0.8,0.329268292682927,0.75609756097561
"user0176","individual","male","yes",0.58,0.7,0.93,0.78,0.67,3438,644,2355,1083,186,458,3438,644,0.64,NA,0.76,NA,0.333333333333333
"user0177","individual","male","no",0.33,0.4,0.6,0.67,0.67,0,0,0,0,0,0,0,0,0,0.09,-1,0.09,NA
"user0178","individual","female","yes",0.58,0.5,0.67,0.67,0.5,4799,214,4111,688,76,138,0,0,0.09,0.18,0.73,0.0989010989010989,0.703296703296703
"user0179","individual","male","yes",0.58,0.45,0.87,0.5,0.39,770,100,639,131,15,85,0,0,0.09,0.45,0.84,0.395604395604396,0.824175824175824
"user0180","individual",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.64,NA,-1,NA,NA
"user0181","individual","male","yes",0.58,0.6,0.67,0.78,0.67,711,197,401,310,16,181,188,17,0.55,NA,0.93,NA,0.844444444444445
"user0182","individual","male","yes",0.42,0.65,0.53,0.44,0.06,0,0,0,0,0,0,0,0,0.45,0.82,0.83,0.672727272727273,0.690909090909091
"user0183","individual","male","yes",0.5,0.4,0.53,0.78,0.67,727,89,568,159,8,81,727,89,0.18,NA,0.91,NA,0.890243902439024
"user0184","individual","male","no",0.83,1,0.93,0.5,0.67,0,0,0,0,0,0,0,0,0.73,NA,-1,NA,NA
"user0185","individual","male","yes",0.33,0.25,0.33,0.17,0.17,543,220,0,543,0,220,0,0,0.09,0.64,0.56,0.604395604395604,0.516483516483517
"user0186","individual",NA,"no",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,-1,NA,NA
"user0187","individual","male","yes",0.58,0.4,0.67,0.67,0.72,0,0,0,0,0,0,0,0,0.09,NA,0.22,NA,0.142857142857143
"user0188","individual","female","yes",0.58,0.65,0.67,0.78,0.72,56,3,56,0,3,0,0,0,0.09,NA,0.48,NA,0.428571428571429
"user0189","individual","male","yes",0.67,0.75,0.73,0.72,0.67,1320,260,888,432,19,241,0,0,0.27,1,0.92,1,0.89041095890411
"user0190","individual","male","yes",0.33,0.5,0.53,0.17,0.11,0,0,0,0,0,0,0,0,0.18,NA,0.45,NA,0.329268292682927
"user0191","individual","female","yes",0.08,0.05,0.73,0.78,0.89,396,25,396,0,25,0,0,0,0.09,0.55,0.48,0.505494505494506,0.428571428571429
"user0192","individual","male","yes",0.67,0.75,0.73,0.72,0.67,67,6,0,67,0,6,0,0,0.09,0.55,0.7,0.505494505494506,0.67032967032967
"user0193","individual","female","yes",0.58,0.5,0.93,0.78,0.5,2114,45,2043,71,37,8,0,0,0,0.45,0.75,0.45,0.75
"user0194","individual","male","yes",0.5,0.3,0.4,0.61,0.22,0,0,0,0,0,0,0,0,0.18,0.55,0.85,0.451219512195122,0.817073170731707
"user0196","individual","male","yes",0.5,0.65,0.6,0.44,0.44,0,0,0,0,0,0,0,0,0.09,NA,0.63,NA,0.593406593406593
"user0197","individual","male","yes",0.92,0.7,1,0.89,0.61,478,62,346,132,17,45,0,0,1,0.82,0.8,-Inf,-Inf
"user0198","individual","male","no",0.58,0,0.8,0.89,0.56,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0199","individual","male","yes",0.5,0.5,0.67,0.67,0.72,2703,196,1762,941,44,152,2703,196,0.27,0.45,0.99,0.246575342465753,0.986301369863014
"user0200","individual","male","yes",0.58,0.25,0.6,0.67,0.67,0,0,0,0,0,0,0,0,0.09,0.18,0.49,0.0989010989010989,0.43956043956044
"user0201","individual","male","yes",0.67,0.35,0.8,0.72,0.44,0,0,0,0,0,0,0,0,0.18,0.64,0.77,0.560975609756098,0.719512195121951
"user0202","individual","male","yes",0.5,0.55,0.73,0.61,0.61,0,0,0,0,0,0,0,0,0.18,0.55,0.63,0.451219512195122,0.548780487804878
"user0204","individual","male","yes",0.58,0.55,0.67,0.83,0.83,0,0,0,0,0,0,0,0,0,0.36,0.71,0.36,0.71
"user0205","individual","male","yes",0.58,0.45,0.67,0.56,0.44,2858,59,2793,65,47,12,0,0,0.18,0.82,0.85,0.780487804878049,0.817073170731707
"user0206","individual","female","no",0.75,0.7,0.67,0.83,0.83,129,22,63,66,4,18,129,22,0.18,NA,-1,NA,NA
"user0207","individual","male","no",0.83,0.45,0.87,0.67,0.28,0,0,0,0,0,0,0,0,0,NA,-1,NA,NA
"user0208","individual","male","yes",0.67,0.15,0.93,0.94,0,0,0,0,0,0,0,0,0,0.09,0.64,0.62,0.604395604395604,0.582417582417582
"user0209","individual","male","no",0.67,0.75,0.8,1,1,0,0,0,0,0,0,0,0,0.55,NA,-1,NA,NA
